ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,AIR_TIME,FLIGHTS,DISTANCE
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2349,-10,10,7,527,-24,0,0,0,0,201,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2357,-2,11,8,534,-17,0,0,0,0,198,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,45,46,9,6,620,29,29,1,0,0,200,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,17,18,8,8,556,4,4,0,0,0,203,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2357,-2,10,8,543,-9,0,0,0,0,208,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,36,37,8,8,630,38,38,1,0,0,218,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,18,19,15,15,605,13,13,0,0,0,197,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,1,2,7,4,529,-23,0,0,0,0,197,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2349,-10,10,5,526,-26,0,0,0,0,202,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2354,-5,8,6,536,-16,0,0,0,0,208,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2350,-9,10,5,526,-26,0,0,0,0,201,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2349,-10,9,4,527,-25,0,0,0,0,205,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2351,-8,9,5,534,-18,0,0,0,0,209,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2353,-6,11,7,542,-10,0,0,0,0,211,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,25,26,10,6,557,5,5,0,0,0,196,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2345,-14,8,7,528,-24,0,0,0,0,208,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2351,-8,11,6,555,3,3,0,0,0,227,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2351,-8,9,5,548,-4,0,0,0,0,223,1,1826
10140,1014003,30140,12478,1247803,31703,JFK,"New York, NY",NY,2350,-9,8,7,540,-12,0,0,0,0,215,1,1826
10257,1025702,30257,11057,1105703,31057,CLT,"Charlotte, NC",NC,759,-1,11,14,1013,-25,0,0,0,0,109,1,646
10257,1025702,30257,11057,1105703,31057,CLT,"Charlotte, NC",NC,1003,123,12,8,1220,102,102,1,0,0,117,1,646
10257,1025702,30257,11057,1105703,31057,CLT,"Charlotte, NC",NC,752,-8,27,8,1003,-35,0,0,0,0,96,1,646
10257,1025702,30257,11057,1105703,31057,CLT,"Charlotte, NC",NC,755,-5,36,23,1038,0,0,0,0,0,104,1,646
