Year_Code,Country_Name,Country_Code,Adults_15_living_HIV,Adults_Children_0_14_15_living_HIV,AIDS_estimated_deaths_UNAIDS,Adults_children_0_14_15_newly_infected_HIV,Adults_15_newly_infected_HIV,Children_0_14_living_with_HIV,Children_orphaned_by_HIV_AIDS,Children_0_14_newly_infected_HIV,Incidence_tuberculosis_per_100000,Labor_force_total,Mortality_traffic_injury_100K,Population_female,Population_male,Population_total,Malaria_cases_reported,Suicide_mortality_per_100K,Tuberculosis_death_per_100K,Tuberculosis_case_detection,Tuberculosis_treatment_success_NewCases
YR2010,Afghanistan,AFG,4300,4500,500,1000,1000,200,3000,100,189,7707349,15.3,14005473,14797694,28803167,69397,5.1,41,53,86
YR2010,Albania,ALB,1000,1000,100,200,200,,,,17,1216574,15.4,1451422,1461599,2913021,,5.3,0.2,88,89
YR2010,Algeria,DZA,9000,9200,500,1000,1000,500,2100,100,77,11115092,24.7,17887239,18230398,36117637,1,3.4,8.5,80,89
YR2010,American Samoa,ASM,,,,,,,,,8.3,,,,,55637,,,0.68,87,100
YR2010,Andorra,AND,,,,,,,,,9.5,,,,,84449,,,0.78,87,86
YR2010,Angola,AGO,190000,210000,9400,25000,21000,18000,94000,3800,384,8394741,20.8,11936016,11433115,23369131,1682870,20.6,58,55,48
YR2010,Antigua and Barbuda,ATG,,,,,,,,,9.2,,5.7,49291,45370,94661,,0.2,1.5,87,33
YR2010,Arab World,ARB,,,,,,,,,,116182200,20.62639863,172508052,184000856,356508908,,4.507302881,,,
YR2010,Argentina,ARG,99000,100000,2000,5300,5200,1500,20000,100,20,18478554,12.9,21060096,20163793,41223889,14,12.9,1.4,87,45
YR2010,Armenia,ARM,3100,3200,200,500,200,,,,63,1427010,16,1530960,1346351,2877311,0,5.2,7.1,76,82
YR2010,Aruba,ABW,,,,,,,,,6.8,,,53202,48467,101669,,,0.56,87,
YR2010,Australia,AUS,21000,21000,1000,1000,1000,100,3100,100,6.5,11693952,6.4,11014499,11017251,22031750,,12.1,0.25,87,82
YR2010,Austria,AUT,,,,,,,,,9.1,4316715,6.7,4287444,4075960,8363404,,16,0.46,87,75
YR2010,Azerbaijan,AZE,5700,5800,500,1000,1000,100,1000,100,128,4506590,11,4568408,4485924,9054332,50,3.6,1.2,65,73
YR2010,"Bahamas, The",BHS,6900,7000,,,,,,,9.9,207346,10.3,184443,176389,360832,1,1.9,0.6,87,69
YR2010,Bahrain,BHR,500,500,100,100,100,,,,22,702530,10.8,466811,774051,1240862,,6.9,0.83,87,96
YR2010,Bangladesh,BGD,9500,9700,1000,1400,1300,200,4300,100,225,64352482,14.1,75208034,76941068,152149102,55873,6.3,56,45,91
YR2010,Barbados,BRB,2200,2200,100,200,200,,,,2.5,152253,8.5,145422,134147,279569,,1.7,0.37,87,100
YR2010,Belarus,BLR,9100,9100,200,1600,1600,100,500,100,69,4891827,22.7,5078980,4411603,9490583,,27.9,9.2,78,78
YR2010,Belgium,BEL,,,,,,,,,11,4898271,8.1,5544815,5350771,10895586,,20.3,0.55,87,78
YR2010,Belize,BLZ,3400,3500,100,500,500,100,500,100,52,138930,13.5,160739,160869,321608,150,6.1,4.1,87,0
YR2010,Benin,BEN,53000,60000,2400,4100,3000,7000,50000,1100,68,3692117,29.8,4630423,4568836,9199259,,9,11,58,90
YR2010,Bermuda,BMU,,,,,,,,,1.8,,,,,65124,,,0,87,0
YR2010,Bhutan,BTN,,,,,,,,,228,351979,17.6,342029,385612,727641,436,11.4,23,80,91
YR2010,Bolivia,BOL,18000,19000,1100,1100,1000,1000,9000,100,135,4684572,16,4947771,4970471,9918242,13769,20.5,3.7,62,85
YR2010,Botswana,BWA,300000,320000,5800,13000,11000,20000,110000,1000,518,1037023,23.8,1018676,996190,2014866,1046,10.2,30,66,78
YR2010,Brazil,BRA,630000,640000,14000,47000,45000,14000,130000,1200,43,101716804,20.8,99864354,96931915,196796269,334667,5.9,2.9,87,72
YR2010,British Virgin Islands,VGB,,,,,,,,,4.2,,,,,27224,,,0,87,
YR2010,Brunei Darussalam,BRN,,,,,,,,,69,189509,7.3,187997,200665,388662,,0.7,3.7,87,78
